campus_id,campus,state,professor_name,evidence_state,course_code,source_quality,confidence,source_url,source_domain,term,year
0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,Edward J. Guay,LIKELY_INTRO1,,HIGH,Medium,https://scholarworks.umt.edu/syllabi2021-2025/2210/,scholarworks.umt.edu,Spring,2024
0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,Lisa A. Eiler,LIKELY_INTRO1,,HIGH,Medium,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=8199&context=syllabi,scholarworks.umt.edu,Spring,2018
0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,Edward Guay,CONFIRMED_INTRO1,,HIGH,High,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=5591&context=syllabi2021-2025,scholarworks.umt.edu,Fall,2025
0054904a-2d2a-4686-af96-8ac394798e2b,University of Montana,MT,Barbara P. Reider,LIKELY_INTRO1,,HIGH,Medium,https://scholarworks.umt.edu/cgi/viewcontent.cgi?article=5420&context=syllabi,scholarworks.umt.edu,Spring,2004
0313357b-f044-49dc-b64c-5b4429ace2ca,Northern Arizona University,AZ,Judith Costello,LIKELY_INTRO1,ACC 255,HIGH,Medium,https://jan.ucc.nau.edu/~yya2/SPA102syllF05.pdf,jan.ucc.nau.edu,Fall,2005
0313357b-f044-49dc-b64c-5b4429ace2ca,Northern Arizona University,AZ,Yuly Asención,LIKELY_INTRO1,ACC 255,HIGH,Medium,https://jan.ucc.nau.edu/~yya2/SPA102syllF05.pdf,jan.ucc.nau.edu,Fall,2005
03ba330e-a0c8-44c0-afdc-e8c247c5fdea,Uof California-Berkeley,CA,"Zhang, X",CONFIRMED_INTRO1,,HIGH,High,https://courses.haas.berkeley.edu/Schedule?strParams=Summer:2025:%,courses.haas.berkeley.edu,Summer,2025
03ba330e-a0c8-44c0-afdc-e8c247c5fdea,Uof California-Berkeley,CA,Erick O Bell,LIKELY_INTRO1,,HIGH,Medium,https://classes.berkeley.edu/content/2024-fall-ugba-120aa-001-lec-001,classes.berkeley.edu,Fall,2024
088edb1d-097d-4182-abd0-6bd91bd2b485,University of Wisconsin–Oshkosh,WI,Dr. Kimberly Rivers,LIKELY_INTRO1,ACCT 206,HIGH,Medium,https://www.uwosh.edu/faculty_staff/minniear/2006/syllabusLibStds200.htm,uwosh.edu,,2006
0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,"TORRETTO, JOE",CONFIRMED_INTRO1,,HIGH,High,https://foothill.edu/accounting/schedule.html,foothill.edu,Fall,2026
0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,"GOPAL, SUBHA",CONFIRMED_INTRO1,,HIGH,High,https://foothill.edu/accounting/schedule.html,foothill.edu,Fall,2026
0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,"JAMA, FILSUN",CONFIRMED_INTRO1,,HIGH,High,https://foothill.edu/accounting/schedule.html,foothill.edu,Fall,2026
0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,"BENSON, BEN",CONFIRMED_INTRO1,,HIGH,High,https://foothill.edu/accounting/schedule.html,foothill.edu,Fall,2026
0a2467b0-4236-4560-8258-9c06494ec754,Foothill College,CA,"NGUYEN, LONG",CONFIRMED_INTRO1,,HIGH,High,https://foothill.edu/accounting/schedule.html,foothill.edu,Fall,2026
